Source,Target
kleptokrakka,lxxx
thelifeofrashmi,bubblelysunny
thelifeofrashmi,loveisfeeling-feelinglove
thelifeofrashmi,kiff-wiliwalki
lastamericanvirgin,hysteriawithoutanaudience
lastamericanvirgin,misskarinaa
lastamericanvirgin,amandashirlow
lastamericanvirgin,souphero
lastamericanvirgin,yourejustfullofshit
lastamericanvirgin,#NAME?
lastamericanvirgin,secondarywings
lastamericanvirgin,pedr0ximenez
lastamericanvirgin,crayoluhh
lastamericanvirgin,johnfrusciantesbeard
lastamericanvirgin,antisocialashley
lastamericanvirgin,mynameisshiny
lastamericanvirgin,theshaddowyoucantsee
lastamericanvirgin,whenaliensinvade
vagabondevil,cuterwhenyouscreamx
little--witch,loverbrown
i-am-jacks-wasted-life,piffington
20-May,postsexcigarettes
-0ldshoes,illneverdream
w0nderb0i,porkch0p
wolfbl00d,solis-glacialis
hidinginalionsmane,overdoseinacan
hidinginalionsmane,lietomesweetheart
hidinginalionsmane,madamekatherine
hidinginalionsmane,wretchedseas
letnaturebe,your-panacea
letnaturebe,shroomssavedmymind
letnaturebe,fickle-
theycallusthewildones,exceptionalillusions
vixenofthedeep,cream-puffs-anonymous
vixenofthedeep,neitherworldbabez
slavestosubstance,ontourwithzykos
slavestosubstance,prophetofpain
tinababeh,dontyourun
tinababeh,ohyousosrank
aynos,samuraigalaxy
aynos,lefuglyfuckette
c0untingthedays,slightlyboringg
pepperoni-nips,alice-died-in-wonderland
iamalmostspartacus,nessanicole
fancypizza,oldirtyhank
jaynewasjune,justplainradical
destroyedlungs,beezillaa
destroyedlungs,lastamericanvirgin
sex-drugs-satan,ninjaspiders
totezmahgoatz,jaynewasjune
fuckyeahputaaa-,herefortheyoungblood
fuckyeahputaaa-,essecordis
fuckyeahputaaa-,makingmemoriesdarling
hurricane-streets,knicole17
hurricane-streets,everydayerin18
hurricane-streets,poisonandpain
noche-maga,colajetdelimon
nature-wood,ashleastar
unsaiddwordds,geniuslove
unsaiddwordds,tumblr-down-under
foreverdrunk,jalex05
inthekeyoflife,sarahsellas
priyaisawesome,gypsylover
priyaisawesome,eternallyforever
believeinsmut,jou4mrk
r3ddrum,eyeballs0up
r3ddrum,claire-standish
jocularjessica,if-notnowwhen
jocularjessica,thepolyjuicepotion
frankly-mr-shankly,ichooseyoucharazard
hollywoodfaggot,blind-contour-drawing
hollywoodfaggot,hobocrowpenguin
hollywoodfaggot,corysmile
mymindsfullofshit,yuy0lina
fuq-da-h8rzz,cuddlingwithashark
nowenteringwonderland,onionchan
nowenteringwonderland,galaxystardust
nowenteringwonderland,dubcore
earthsdelight,extrememeasure
mymorose,skippytherapist
rubmyhuevos,vickytee
rubmyhuevos,lyrykally
v4nished,dead-boys-poem
jensgotablog,queencat
sunhits,thisthirdeye
sunhits,missmewhileimgone
sunhits,mystereyes
sunhits,eagerartist
chihoney,currlysue
trappedinsidehermind,rollinsolo
sabrinaellen,wakeup-wakeup
catsfollowme,wordsaregreatmagic
gressalee,antiquesquirrel
gressalee,n0regretsjustsmilee
satanandhisunicorn,you-sporadically
mermaid-pussy,iamthewerewolf
#NAME?,bootiecall
#NAME?,infinitesunshineee
thisthirdeye,kawaiitilidi-e
thisthirdeye,pushthenvelope
princeofarizona,lettheweaksing
onceuponafuckinggtime,joshdotterer
werewolflovah,serdihdevine
werewolflovah,dr0wninglessons
hellomomma,mynameisceselie
0blivi-8,jessummerlea
soimreckless,crazyblondebitch
soimreckless,kisssedbythesun
chanel-deann,lifeisforthelivingmydear
cutsandkisses,alienanna
cutsandkisses,carpiogarfio
ihangwithwolves,honeytaiterva
ihangwithwolves,onlythisdear
c0kewhore,itmeansnow0rries
thensingsmy-soul,lovepeaceherbs
thestarinmyeyes,allearsandeyes
marvelouspigsinsatin,monishua
breathenostalgia,faaithgabriel
breathenostalgia,presentia
carolinebonfim,sweetrevolt
octopuschild,iareocean
octopuschild,skeeterdavis
octopuschild,sara-six-faggot
an0therdreamer,xhellokittyx33
kylaleeann,livelifestrong
kylaleeann,wittyblogname
#NAME?,katiejuanita
#NAME?,sauceinmyeye
#NAME?,sharksiny0urmouth
thesuckcocker,getplentyofcalcium
micahf0rmay0r,shawnonsawaghost
micahf0rmay0r,maganelise
mekonevandalism,heresanotherchance
mekonevandalism,vaginist
oceaniacitizen,blueeyedhaze
heyjoon,grandmascloset
ramengod,savifitz
ramengod,fadedconstellations
ramengod,mort-aux-hipster
vivalaperla,fallingparadise
